Date,Price
01-01-2020,1900
02-01-2020,1800
03-01-2020,1850
06-01-2020,1800
07-01-2020,1900
08-01-2020,1950
09-01-2020,1910
10-01-2020,1810
13-01-2020,1800
14-01-2020,1750
15-01-2020,1900
16-01-2020,1800
17-01-2020,1800
20-01-2020,1910
21-01-2020,1925
22-01-2020,1950
23-01-2020,1950
24-01-2020,1900
27-01-2020,1920
28-01-2020,1820
29-01-2020,1938
30-01-2020,1900
31-01-2020,1950
03-02-2020,1910
04-02-2020,1810
05-02-2020,1800
06-02-2020,1750
07-02-2020,1900
10-02-2020,1800
11-02-2020,1800
12-02-2020,1910
13-02-2020,1925
14-02-2020,1950
17-02-2020,1950
18-02-2020,1900
19-02-2020,1920
20-02-2020,1820
21-02-2020,1938
24-02-2020,1750
25-02-2020,1900
26-02-2020,1800
27-02-2020,1800
28-02-2020,1910
02-03-2020,1925
03-03-2020,1950
04-03-2020,1950
05-03-2020,1900
06-03-2020,1920
09-03-2020,1820
10-03-2020,1938
11-03-2020,1900
12-03-2020,1950
13-03-2020,1910
16-03-2020,1810
17-03-2020,1800
18-03-2020,1750
19-03-2020,1900
20-03-2020,1800
23-03-2020,1800
24-03-2020,1910
25-03-2020,1925
26-03-2020,1950
27-03-2020,1950
30-03-2020,1900
31-03-2020,1920
01-04-2020,1820
02-04-2020,1938
03-04-2020,1900
06-04-2020,1950
07-04-2020,1910
08-04-2020,1810
09-04-2020,1800
10-04-2020,1750
13-04-2020,1900
14-04-2020,1800
15-04-2020,1800
16-04-2020,1910
17-04-2020,1925
20-04-2020,1950
21-04-2020,1950
22-04-2020,1900
23-04-2020,1920
24-04-2020,1820
27-04-2020,1938
28-04-2020,1900
29-04-2020,1920
30-04-2020,1820
01-05-2020,1938
04-05-2020,1940
05-05-2020,1950
06-05-2020,1900
07-05-2020,1910
08-05-2020,1960
11-05-2020,1940
12-05-2020,1850
13-05-2020,1860
14-05-2020,1840
15-05-2020,1930
18-05-2020,1940
19-05-2020,1925
20-05-2020,1925
21-05-2020,1980
22-05-2020,1925
25-05-2020,1950
26-05-2020,1925
27-05-2020,1945
28-05-2020,195
29-05-2020,1950
30-05-2020,1800
31-05-2020,1910
01-06-2020,1925
02-06-2020,1950
03-06-2020,1950
04-06-2020,1900
05-06-2020,1920
06-06-2020,1820
07-06-2020,1938
08-06-2020,1900
09-06-2020,1920
10-06-2020,1820
11-06-2020,1938
12-06-2020,1940
13-06-2020,1950
14-06-2020,1900
15-06-2020,1910
16-06-2020,1960
17-06-2020,1940
18-06-2020,1850
19-06-2020,1860
20-06-2020,1840
21-06-2020,1930
22-06-2020,1940
23-06-2020,1925
24-06-2020,1925
25-06-2020,1980
26-06-2020,1925
27-06-2020,1950
28-06-2020,1925
29-06-2020,1945
30-06-2020,195
01-07-2020,1950
02-07-2020,1900
03-07-2020,1910
04-07-2020,1960
05-07-2020,1940
06-07-2020,1850
07-07-2020,1860
08-07-2020,1840
09-07-2020,1930
10-07-2020,1940
11-07-2020,1925
12-07-2020,1925
13-07-2020,1980
14-07-2020,1925
15-07-2020,1950
16-07-2020,1925
